Day_of_Week,Time_of_Day,Total_Withdrawals,Total_Deposits,Location_Type,Holiday_Flag,Special_Event_Flag,Previous_Day_Cash_Level,Weather_Condition,Nearby_Competitor_ATMs,Cash_Demand_Next_Day
Thursday,Evening,58083.0,5621.0,Supermarket,0.0,0.0,72344.0,Snowy,0.0,64058.0
Monday,Afternoon,29021.0,12814.0,Standalone,0.0,0.0,86987.0,Clear,5.0,17148.0
Tuesday,Evening,42693.0,10242.0,Mall,0.0,0.0,83380.0,Snowy,5.0,38011.0
Monday,Night,46415.0,5462.0,Mall,0.0,0.0,88464.0,Snowy,3.0,35747.0
Tuesday,Evening,61330.0,10496.0,Bank Branch,0.0,0.0,115027.0,Snowy,3.0,63369.0
Tuesday,Night,40060.0,12852.0,Gas Station,0.0,0.0,84734.0,Clear,1.0,32198.0
Monday,Evening,22926.0,11298.0,Mall,0.0,0.0,81913.0,Clear,4.0,19055.0
Friday,Afternoon,49008.0,3944.0,Supermarket,0.0,0.0,86963.0,Cloudy,2.0,43567.0
Thursday,Evening,50710.0,15031.0,Supermarket,0.0,0.0,88462.0,Clear,1.0,33095.0
Friday,Evening,57947.0,17207.0,Mall,0.0,0.0,50567.0,Rainy,4.0,37843.0
Friday,Morning,38046.0,11855.0,Gas Station,0.0,0.0,87920.0,Cloudy,2.0,37715.0
Friday,Evening,51298.0,9221.0,Standalone,0.0,0.0,123355.0,Cloudy,0.0,35629.0
Sunday,Evening,53816.0,7561.0,Supermarket,0.0,0.0,91348.0,Rainy,3.0,39728.0
Wednesday,Afternoon,54346.0,20377.0,Bank Branch,0.0,0.0,117422.0,Rainy,0.0,40499.0
Sunday,Evening,45109.0,0.0,Supermarket,0.0,0.0,79838.0,Snowy,3.0,44435.0
Tuesday,Evening,50276.0,18382.0,Gas Station,0.0,0.0,106538.0,Cloudy,3.0,40754.0
Tuesday,Morning,46713.0,11178.0,Gas Station,0.0,0.0,115417.0,Snowy,0.0,28712.0
Tuesday,Morning,27821.0,15718.0,Standalone,0.0,0.0,106769.0,Rainy,3.0,17105.0
Monday,Night,43770.0,10909.0,Standalone,0.0,0.0,104964.0,Cloudy,5.0,30516.0
Monday,Night,62455.0,5719.0,Standalone,0.0,0.0,101431.0,Snowy,5.0,63645.0
Tuesday,Evening,42835.0,15187.0,Gas Station,0.0,0.0,89799.0,Snowy,5.0,22142.0
Tuesday,Morning,45951.0,5106.0,Gas Station,0.0,0.0,91114.0,Snowy,2.0,36577.0
Saturday,Morning,55659.0,14348.0,Supermarket,0.0,0.0,127112.0,Clear,1.0,48909.0
Friday,Night,38393.0,3776.0,Gas Station,0.0,0.0,64425.0,Rainy,2.0,34133.0
Sunday,Evening,72440.0,11399.0,Gas Station,0.0,0.0,77490.0,Cloudy,0.0,63426.0
Sunday,Afternoon,51640.0,13628.0,Bank Branch,0.0,0.0,109620.0,Clear,4.0,48067.0
Wednesday,Afternoon,53358.0,19410.0,Mall,0.0,0.0,126908.0,Clear,5.0,34886.0
Friday,Evening,35155.0,9371.0,Supermarket,0.0,0.0,101114.0,Cloudy,3.0,29883.0
Wednesday,Night,66412.0,9209.0,Supermarket,0.0,0.0,91462.0,Rainy,4.0,69831.0
Friday,Morning,34818.0,1725.0,Standalone,0.0,0.0,116463.0,Cloudy,2.0,31516.0
Saturday,Morning,51099.0,8321.0,Standalone,0.0,0.0,133380.0,Cloudy,1.0,39427.0
Thursday,Night,46313.0,8636.0,Standalone,0.0,0.0,46062.0,Cloudy,3.0,48115.0
Wednesday,Afternoon,49185.0,19244.0,Supermarket,0.0,0.0,122531.0,Cloudy,0.0,23599.0
Sunday,Night,45966.0,4467.0,Gas Station,0.0,0.0,151467.0,Rainy,3.0,41097.0
Tuesday,Evening,50888.0,10990.0,Mall,0.0,0.0,97112.0,Cloudy,0.0,38343.0
Thursday,Morning,49508.0,7282.0,Bank Branch,0.0,0.0,85743.0,Rainy,0.0,49672.0
Thursday,Evening,51596.0,0.0,Supermarket,0.0,0.0,121830.0,Clear,2.0,49547.0
Saturday,Night,44859.0,8142.0,Standalone,0.0,0.0,71849.0,Cloudy,4.0,41707.0
Monday,Morning,38332.0,14678.0,Bank Branch,0.0,0.0,125431.0,Snowy,1.0,22113.0
Sunday,Night,60825.0,4354.0,Mall,0.0,0.0,89509.0,Clear,3.0,61845.0
Tuesday,Evening,57340.0,8798.0,Mall,0.0,0.0,92503.0,Clear,2.0,54274.0
Thursday,Night,44585.0,15796.0,Bank Branch,0.0,0.0,78378.0,Cloudy,4.0,25918.0
Monday,Afternoon,59239.0,11630.0,Bank Branch,0.0,0.0,74977.0,Cloudy,4.0,46371.0
Sunday,Night,42159.0,15245.0,Supermarket,0.0,0.0,85913.0,Cloudy,5.0,34015.0
Sunday,Evening,28873.0,3597.0,Mall,0.0,0.0,135095.0,Cloudy,2.0,26891.0
Friday,Afternoon,53165.0,9516.0,Mall,0.0,0.0,89101.0,Snowy,4.0,53923.0
Tuesday,Night,55987.0,10571.0,Standalone,0.0,0.0,103006.0,Snowy,1.0,48907.0
Wednesday,Morning,54617.0,1449.0,Bank Branch,0.0,0.0,73036.0,Snowy,4.0,45408.0
Monday,Evening,61148.0,10092.0,Mall,0.0,0.0,106951.0,Cloudy,2.0,53697.0
Thursday,Morning,52937.0,5108.0,Supermarket,0.0,0.0,108165.0,Snowy,1.0,51470.0
Tuesday,Afternoon,24461.0,11280.0,Bank Branch,0.0,0.0,119653.0,Rainy,5.0,16053.0
Thursday,Morning,22386.0,3602.0,Standalone,0.0,0.0,87503.0,Clear,4.0,16267.0
Sunday,Morning,50391.0,10933.0,Standalone,0.0,0.0,84892.0,Cloudy,1.0,37663.0
Monday,Evening,36151.0,3241.0,Supermarket,0.0,0.0,80482.0,Snowy,1.0,34719.0
Tuesday,Evening,65804.0,12466.0,Standalone,0.0,0.0,103696.0,Cloudy,0.0,64352.0
Saturday,Night,41365.0,10610.0,Supermarket,0.0,0.0,151201.0,Cloudy,0.0,29227.0
Tuesday,Morning,48559.0,9825.0,Gas Station,0.0,0.0,135416.0,Snowy,4.0,45169.0
Monday,Evening,60616.0,7187.0,Mall,0.0,0.0,112648.0,Cloudy,0.0,49376.0
Saturday,Evening,64588.0,6364.0,Supermarket,0.0,0.0,95049.0,Clear,5.0,71752.0
Tuesday,Evening,48883.0,13103.0,Gas Station,0.0,0.0,103554.0,Clear,0.0,44826.0
Saturday,Morning,29969.0,12798.0,Mall,0.0,0.0,121615.0,Rainy,3.0,20440.0
Sunday,Night,48947.0,1695.0,Supermarket,0.0,0.0,108592.0,Rainy,3.0,41364.0
Tuesday,Night,53115.0,4594.0,Supermarket,0.0,0.0,121063.0,Snowy,0.0,57604.0
Sunday,Afternoon,49406.0,13407.0,Gas Station,0.0,0.0,100566.0,Rainy,2.0,33570.0
Monday,Evening,50446.0,10480.0,Supermarket,0.0,0.0,90754.0,Snowy,0.0,46126.0
Monday,Afternoon,53332.0,7606.0,Mall,0.0,0.0,125115.0,Cloudy,0.0,46057.0
Saturday,Morning,36580.0,17234.0,Mall,0.0,0.0,103931.0,Rainy,1.0,19917.0
Saturday,Morning,54005.0,14448.0,Supermarket,0.0,0.0,101645.0,Rainy,1.0,50495.0
Wednesday,Morning,65982.0,7413.0,Standalone,0.0,0.0,128186.0,Rainy,1.0,59418.0
Wednesday,Afternoon,43317.0,17266.0,Mall,0.0,0.0,131591.0,Clear,1.0,29204.0
Monday,Afternoon,42157.0,3277.0,Supermarket,0.0,0.0,81626.0,Rainy,2.0,36700.0
Tuesday,Night,49479.0,11171.0,Supermarket,0.0,0.0,131010.0,Clear,3.0,33011.0
Friday,Morning,35024.0,14921.0,Gas Station,0.0,0.0,95720.0,Clear,5.0,30306.0
Sunday,Evening,33159.0,11912.0,Gas Station,0.0,0.0,103329.0,Clear,0.0,25578.0
Thursday,Night,57386.0,6811.0,Mall,0.0,0.0,89380.0,Cloudy,0.0,46929.0
Saturday,Afternoon,40439.0,15945.0,Mall,0.0,0.0,128410.0,Snowy,3.0,34410.0
Wednesday,Evening,41438.0,7238.0,Gas Station,0.0,0.0,112658.0,Cloudy,0.0,31297.0
Thursday,Afternoon,73212.0,18979.0,Gas Station,0.0,0.0,87744.0,Rainy,3.0,66038.0
Monday,Night,44184.0,11429.0,Gas Station,0.0,0.0,106689.0,Snowy,3.0,38065.0
Monday,Evening,47345.0,6008.0,Standalone,0.0,0.0,72413.0,Cloudy,0.0,54082.0
Tuesday,Morning,39036.0,7411.0,Gas Station,0.0,0.0,104475.0,Snowy,1.0,38979.0
Thursday,Evening,87903.0,7345.0,Mall,0.0,0.0,90211.0,Cloudy,5.0,87239.375
Saturday,Evening,65662.0,12919.0,Standalone,0.0,0.0,92814.0,Rainy,1.0,62761.0
Tuesday,Afternoon,62307.0,12536.0,Mall,0.0,0.0,121333.0,Snowy,0.0,54277.0
Thursday,Afternoon,67539.0,9164.0,Gas Station,0.0,0.0,102934.0,Clear,4.0,55095.0
Tuesday,Evening,55530.0,8033.0,Mall,0.0,0.0,100574.0,Snowy,2.0,39396.0
Friday,Afternoon,69176.0,10955.0,Bank Branch,0.0,0.0,100928.0,Cloudy,0.0,65922.0
Wednesday,Morning,59682.0,20816.0,Mall,0.0,0.0,93844.0,Rainy,3.0,49871.0
Monday,Evening,53287.0,9523.0,Bank Branch,0.0,0.0,105580.0,Snowy,4.0,46914.0
Monday,Morning,43303.0,10970.0,Bank Branch,0.0,0.0,121472.0,Clear,5.0,27130.0
Thursday,Night,34602.0,15975.0,Gas Station,0.0,0.0,69536.0,Cloudy,3.0,13365.0
Tuesday,Morning,41616.0,11886.0,Standalone,0.0,0.0,131310.0,Snowy,5.0,36074.0
Thursday,Night,49013.0,2759.0,Supermarket,0.0,0.0,56023.0,Clear,1.0,39942.0
Wednesday,Morning,34681.0,13541.0,Mall,0.0,0.0,104876.0,Rainy,1.0,28203.0
Monday,Evening,41538.0,13251.0,Standalone,0.0,0.0,98016.0,Cloudy,5.0,29348.0
Wednesday,Afternoon,27117.0,6540.0,Gas Station,0.0,0.0,99088.0,Rainy,4.0,27369.0
Thursday,Evening,53650.0,3742.0,Mall,0.0,0.0,128875.0,Clear,3.0,58712.0
Sunday,Morning,55140.0,12283.0,Standalone,0.0,0.0,111395.0,Cloudy,5.0,50909.0
Saturday,Evening,56715.0,10982.0,Mall,0.0,0.0,114180.0,Snowy,1.0,55307.0
Monday,Evening,39854.0,19004.0,Mall,0.0,0.0,99196.0,Clear,1.0,17874.0
Sunday,Night,28538.0,14203.0,Supermarket,0.0,0.0,86947.0,Snowy,5.0,16038.0
Monday,Evening,43215.0,0.0,Bank Branch,0.0,0.0,68321.0,Clear,4.0,46585.0
Monday,Evening,61406.0,5165.0,Standalone,0.0,0.0,99045.0,Rainy,1.0,49939.0
Monday,Evening,49945.0,4208.0,Bank Branch,0.0,0.0,130067.0,Rainy,5.0,49012.0
Friday,Night,63160.0,11041.0,Gas Station,0.0,0.0,59165.0,Cloudy,5.0,45291.0
Saturday,Evening,34975.0,8594.0,Standalone,0.0,0.0,135953.0,Clear,3.0,34023.0
Monday,Evening,59612.0,16996.0,Standalone,0.0,0.0,118492.0,Snowy,4.0,31988.0
Monday,Night,50894.0,6765.0,Gas Station,0.0,0.0,113964.0,Snowy,2.0,49157.0
Monday,Morning,55902.0,15247.0,Supermarket,0.0,0.0,89295.0,Cloudy,3.0,32067.0
Saturday,Morning,69760.0,10987.0,Gas Station,0.0,0.0,141505.0,Rainy,2.0,67984.0
Wednesday,Afternoon,39662.0,6742.0,Mall,0.0,0.0,90322.0,Snowy,5.0,41450.0
Thursday,Afternoon,57842.0,7131.0,Mall,0.0,0.0,99512.0,Cloudy,3.0,52993.0
Tuesday,Afternoon,82134.0,10190.0,Standalone,0.0,0.0,102400.0,Snowy,3.0,63702.0
Tuesday,Morning,46139.0,1657.0,Standalone,0.0,0.0,107984.0,Clear,4.0,49437.0
Tuesday,Evening,59707.0,3871.0,Standalone,0.0,0.0,70712.0,Rainy,2.0,74340.0
Sunday,Afternoon,53366.0,15235.0,Standalone,0.0,0.0,133678.0,Cloudy,1.0,38810.0
Wednesday,Morning,43116.0,9136.0,Standalone,0.0,0.0,117673.0,Snowy,1.0,31993.0
Thursday,Morning,72148.0,16900.0,Gas Station,0.0,0.0,87488.0,Clear,2.0,62245.0
Monday,Afternoon,55937.0,7248.0,Standalone,0.0,0.0,86567.0,Cloudy,1.0,69204.0
Saturday,Afternoon,49616.0,15863.0,Mall,0.0,0.0,110872.0,Clear,4.0,36515.0
Friday,Morning,44440.0,15743.0,Standalone,0.0,0.0,65205.0,Rainy,4.0,27508.0
Tuesday,Afternoon,30579.0,15804.0,Bank Branch,0.0,0.0,90645.0,Rainy,5.0,24837.0
Monday,Night,55197.0,10384.0,Standalone,0.0,0.0,74340.0,Rainy,3.0,42102.0
Wednesday,Night,26651.0,7859.0,Bank Branch,0.0,0.0,130015.0,Snowy,3.0,18513.0
Thursday,Night,62753.0,8391.0,Gas Station,0.0,0.0,141534.0,Cloudy,4.0,63816.0
Sunday,Afternoon,65454.0,11193.0,Bank Branch,0.0,0.0,94819.0,Rainy,2.0,53509.0
Thursday,Night,47054.0,13638.0,Standalone,0.0,0.0,101038.0,Clear,5.0,30732.0
Sunday,Evening,60989.0,9596.0,Mall,0.0,0.0,101572.0,Snowy,3.0,44295.0
Tuesday,Night,20026.0,14581.0,Mall,0.0,0.0,106929.0,Rainy,3.0,15613.0
Friday,Night,81325.0,9302.0,Mall,0.0,0.0,122163.0,Snowy,1.0,63843.0
Friday,Evening,34401.0,6881.0,Bank Branch,0.0,0.0,138280.0,Clear,5.0,35416.0
Saturday,Afternoon,63051.0,12478.0,Bank Branch,0.0,0.0,103008.0,Cloudy,5.0,52885.0
Sunday,Night,55474.0,11005.0,Gas Station,0.0,0.0,121013.0,Clear,0.0,39428.0
Tuesday,Afternoon,66582.0,15935.0,Supermarket,0.0,0.0,112774.0,Cloudy,0.0,57599.0
Sunday,Afternoon,32854.0,11513.0,Standalone,0.0,0.0,84914.0,Rainy,3.0,33383.0
Saturday,Night,49037.0,11643.0,Mall,0.0,0.0,106427.0,Cloudy,4.0,40231.0
Monday,Afternoon,56328.0,8779.0,Bank Branch,0.0,0.0,119281.0,Clear,4.0,45110.0
Sunday,Night,58961.0,13505.0,Bank Branch,0.0,0.0,94048.0,Clear,4.0,58892.0
Friday,Morning,70635.0,9134.0,Gas Station,0.0,0.0,100311.0,Clear,5.0,59438.0
Wednesday,Evening,73917.0,5765.0,Mall,0.0,0.0,80172.0,Clear,2.0,62198.0
Saturday,Morning,17699.0,18210.0,Supermarket,0.0,0.0,120196.0,Snowy,1.0,5219.0
Tuesday,Evening,64726.0,8375.0,Bank Branch,0.0,0.0,50011.0,Cloudy,5.0,46828.0
Monday,Afternoon,84364.0,3052.0,Bank Branch,0.0,0.0,67092.0,Cloudy,0.0,84729.0
Tuesday,Morning,70764.0,12819.0,Bank Branch,0.0,0.0,111895.0,Snowy,2.0,77131.0
Sunday,Night,62801.0,13794.0,Standalone,0.0,0.0,105623.0,Rainy,2.0,43066.0
Friday,Evening,38690.0,8596.0,Standalone,0.0,0.0,66140.0,Snowy,3.0,29741.0
Monday,Night,48524.0,10899.0,Standalone,0.0,0.0,127840.0,Cloudy,5.0,43086.0
Thursday,Evening,35155.0,14703.0,Mall,0.0,0.0,80350.0,Clear,3.0,18312.0
Monday,Evening,46630.0,10526.0,Standalone,0.0,0.0,73319.0,Snowy,5.0,44703.0
Thursday,Night,26105.0,12202.0,Supermarket,0.0,0.0,99607.0,Rainy,5.0,19842.0
Monday,Night,58287.0,10626.0,Mall,0.0,0.0,91411.0,Snowy,4.0,60302.0
Sunday,Morning,50732.0,10202.0,Mall,0.0,0.0,85960.0,Cloudy,2.0,45786.0
Monday,Afternoon,40056.0,3780.0,Mall,0.0,0.0,86141.0,Cloudy,0.0,42141.0
Thursday,Afternoon,45575.0,16238.0,Standalone,0.0,0.0,86530.0,Clear,4.0,36046.0
Monday,Night,54184.0,4062.0,Standalone,0.0,0.0,106196.0,Clear,4.0,55534.0
Tuesday,Evening,47220.0,9350.0,Gas Station,0.0,0.0,100876.0,Snowy,1.0,42011.0
Thursday,Afternoon,47794.0,7212.0,Gas Station,0.0,0.0,72603.0,Clear,2.0,44202.0
